CKV Laboratory - San Ramon - CA
Original Filename: c:\Home\2023\Hobart_HeatGain\LowTempIdle_DO_6_30
Date:              6/30/23
Test Duration:     999 Minutes
Appliance:         Dishmachine
Energy Type:       Electric
Hood Type:         Wall Canopy
Hood Length:       5
Hood Depth:        5
Flow Rate:         0 Scfm
Flow/RPM Y int:    0
Flow/RPM slope:    3
Flow/Poly Map A:   344.97237
Flow/Poly Map B1:  3.6128
Flow/Poly Map B2:  .000423986
Flow/Poly Map B3:  .000000467134
6/30/23
Supply 1 used for Total Room Flow
Ex Map by Third Order Poly
Enthalpy Calculations Are NOT to be Trusted!
Room dP Filter: Inactive
 
E.sec	Index	Time	Displ.Scfm	Lmua.Scfm	DisplF.Scfm	DisplB.Scfm	LmuaF.Scfm	LmuaB.Scfm	LmuaL.Scfm	LmuaR.Scfm	Displ.Cfm	Lmua.Cfm	Room.Cfm	Ex.Cfm	DisplF.Cfm	DisplB.Cfm	LmuaF.Cfm	LmuaB.Cfm	LmuaL.Cfm	LmuaR.Cfm	Displ.Lbh	Lmua.Lbh	Rm.Lbh	Ex.Lbh	DisplF.Lbh	DisplB.Lbh	LmuaF.Lbh	LmuaB.Lbh	LmuaL.Lbh	LmuaR.Lbh	wDispl	wLmua	wRm	wEx	PpWater	PpSat	RhoDispl	RhoLmua	RhoRm	RhoEx	RhDispl	RhLmua	RhRm	RhEx	DewDispl.F	DewLmua.F	DewRm	DewEx	S1F1.Rpm	S1F2.Rpm	S2F1.Rpm	S2F2.Rpm	Ex.Rpm	Pbar.inHg	ExSp.inw	RmDp.inw	WallFDp.inw	WallBDp.inw	LmuaFDp.inw	LmuaBDp.inw	LmuaLDp.inw	LmuaRDp.inw	NG.inw	AvEx.F	AvTr.F	Ex-Tr.F	ExRange.F	AvTrCor.F	Ex-TrCor.F	NgA.cf	NgB.cf	NgC.cf	NgComp	NgCp	p120.kBh	p208a.kBh	p208b.kBh	pNgA.kBh	pNgB.kBh	pNgC.kBh	pApp.kBh	pMua.kBh	pEx.kBh	pHG.kBh	Bad-pExLate.kBh	Bad-pExSens.kBh	Bad-pExByEnth.kBh	Bad-pHgByEnth.kBh	e120.kB	e208a.kB	e208b.kB	eNgA.kB	eNgB.kB	eNgC.kB	eApp.kB	eMua.kB	eEx.kB	eHG.kB	Bad-eExLate.kB	Bad-eExSens.kB	Bad-eExByEnth.kB	Bad-eHgByEnth.kB	p120.kW	p208a.kW	p208b.kW	e120.kWh	e208a.kWh	e208b.kWh	tEx1	tEx2	tEx3	tEx4	tEx5	tEx6	tEx7	tEx8	tEx9	tEx10	tEx11	tEx12	tTrAup	tTrAmid	tTrAlow	tTrBup	tTrBmid	tTrBlow	tTrCup	tTrCmid	tTrClow	tTrDup	tTrDmid	tTrDlow	tS2F1	tDispl	tDewCh21	tDewCh22	tS2F2	tLmua	tNg	t26ApF	t27ApR	t34HdL	t35HdC	t36HdR	t37ApL	t38	t39	t40	Bad-TreeEnthalpy	Bad-ExEnthalpy	DewTran-R	DewTran-W	
00000	00000	2:54:05 PM	704	154	704	0	0	0	154	0	724	162	725	2316	724	0	0	0	162	0	3170	694	3170	9970	3170	0	0	0	694	0	0.00000	0.00906	0.00000	0.01074	0.00770	29.90701	0.072985	0.071349	0.072836	0.071751	0.03	35.32	0.02	46.88	-88.88	54.15	-88.88	58.77	600	0	0	0	500	29.45	0.166	0.001	0.016	0.000	-0.880	-0.880	0.044	0.000	-2.541	80.94	76.33	4.62	4.55	76.33	4.62	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	303.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	303.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80.48	80.80	80.85	80.99	81.08	81.11	81.11	80.81	81.28	80.72	81.09	81.02	-88.88	-88.88	-88.88	76.06	76.10	75.80	77.31	76.23	75.93	76.72	76.54	76.27	-88.88	75.24	-88.88	-88.88	-88.88	84.54	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.24	0.018324	0.031204	54.147	58.766	
00005	00001	2:54:11 PM	720	151	720	0	0	0	151	0	740	158	741	2316	740	0	0	0	158	0	3239	679	3239	9970	3239	0	0	0	679	0	0.00000	0.00906	0.00000	0.01074	0.00770	29.90999	0.072985	0.071356	0.072835	0.071755	0.03	35.36	0.02	46.93	-88.88	54.13	-88.88	58.77	600	0	0	0	500	29.45	0.172	0.000	0.017	0.000	-0.880	-0.880	0.042	0.000	-2.541	80.91	76.34	4.58	0.80	76.34	4.58	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.581	3.559	-2.978	36.589	3.511	40.101	-40.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	0.005	303.266	0.051	0.005	0.056	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	80.46	80.76	80.81	80.96	81.05	81.07	81.06	80.80	81.26	80.69	81.06	80.99	-88.88	-88.88	-88.88	76.06	76.10	75.85	77.32	76.23	75.93	76.72	76.55	76.27	-88.88	75.24	-88.88	-88.88	-88.88	84.48	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.24	0.018326	0.031197	54.133	58.766	
00012	00002	2:54:17 PM	690	162	690	0	0	0	162	0	709	170	710	2316	709	0	0	0	170	0	3103	729	3103	9968	3103	0	0	0	729	0	0.00000	0.00904	0.00000	0.01072	0.00770	29.95589	0.072962	0.071335	0.072819	0.071742	0.03	35.24	0.02	46.86	-88.88	54.08	-88.88	58.71	600	0	0	0	500	29.44	0.174	0.001	0.016	0.000	-0.880	-0.880	0.048	0.000	-2.542	80.90	76.33	4.57	0.78	76.33	4.57	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.612	3.467	-2.855	37.058	3.539	40.597	-41.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.002	0.012	303.260	0.124	0.012	0.135	-0.138	0.000	0.000	0.000	0.000	0.000	0.000	80.45	80.75	80.80	80.94	81.03	81.06	81.06	80.79	81.23	80.69	81.04	80.97	-88.88	-88.88	-88.88	76.05	76.09	75.86	77.31	76.23	75.92	76.72	76.55	76.27	-88.88	75.29	-88.88	-88.88	-88.88	84.53	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.29	0.018325	0.031173	54.075	58.712	
00018	00003	2:54:23 PM	715	157	715	0	0	0	157	0	734	165	736	2316	734	0	0	0	165	0	3215	708	3215	9971	3215	0	0	0	708	0	0.00000	0.00902	0.00000	0.01070	0.00770	29.98389	0.072979	0.071364	0.072838	0.071765	0.03	35.25	0.02	46.82	-88.88	54.03	-88.88	58.68	600	0	0	0	500	29.45	0.174	0.000	0.017	0.000	-0.880	-0.880	0.046	0.000	-2.541	80.89	76.35	4.54	0.78	76.35	4.54	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.610	3.478	-2.868	36.624	3.493	40.117	-40.845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.003	0.017	303.256	0.183	0.017	0.201	-0.204	0.000	0.000	0.000	0.000	0.000	0.000	80.45	80.73	80.79	80.94	81.02	81.04	81.04	80.78	81.22	80.66	81.03	80.97	-88.88	-88.88	-88.88	76.08	76.12	75.95	77.32	76.23	75.92	76.72	76.55	76.27	-88.88	75.31	-88.88	-88.88	-88.88	84.46	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.31	0.018329	0.031151	54.032	58.676	
00024	00004	2:54:30 PM	698	153	698	0	0	0	153	0	718	160	719	2316	718	0	0	0	160	0	3143	686	3143	9970	3143	0	0	0	686	0	0.00000	0.00902	0.00000	0.01068	0.00770	29.96089	0.072968	0.071347	0.072820	0.071754	0.03	35.21	0.02	46.71	-88.88	54.02	-88.88	58.60	600	0	0	0	500	29.45	0.171	0.000	0.016	0.000	-0.880	-0.880	0.043	0.000	-2.541	80.88	76.38	4.50	0.78	76.38	4.50	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.607	3.456	-2.850	36.716	3.495	40.212	-40.941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.004	0.023	303.251	0.245	0.023	0.268	-0.273	0.000	0.000	0.000	0.000	0.000	0.000	80.43	80.74	80.76	80.92	81.01	81.04	81.04	80.77	81.21	80.65	81.02	80.95	-88.88	-88.88	-88.88	76.15	76.20	76.09	77.32	76.22	75.92	76.73	76.55	76.27	-88.88	75.29	-88.88	-88.88	-88.88	84.49	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.29	0.018337	0.031120	54.018	58.604	
00030	00005	2:54:36 PM	699	162	699	0	0	0	162	0	718	171	720	2316	718	0	0	0	171	0	3145	731	3145	9970	3145	0	0	0	731	0	0.00000	0.00900	0.00000	0.01066	0.00770	29.91499	0.072975	0.071363	0.072811	0.071755	0.03	35.26	0.02	46.66	-88.88	53.96	-88.88	58.57	600	0	0	0	500	29.45	0.176	0.000	0.016	0.000	-0.880	-0.880	0.049	0.000	-2.542	80.87	76.44	4.43	0.78	76.44	4.43	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.608	3.434	-2.825	36.587	3.474	40.061	-40.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.005	0.029	303.246	0.305	0.029	0.334	-0.340	0.000	0.000	0.000	0.000	0.000	0.000	80.42	80.72	80.75	80.90	81.00	81.02	81.03	80.78	81.20	80.68	81.00	80.94	-88.88	-88.88	-88.88	76.43	76.40	76.14	77.32	76.22	75.92	76.73	76.55	76.27	-88.88	75.24	-88.88	-88.88	-88.88	84.38	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.24	0.018351	0.031103	53.960	58.568	
00036	00006	2:54:42 PM	702	161	702	0	0	0	161	0	722	169	723	2316	722	0	0	0	169	0	3160	725	3160	9971	3160	0	0	0	725	0	0.00000	0.00901	0.00000	0.01064	0.00770	29.90999	0.072978	0.071378	0.072814	0.071760	0.03	35.41	0.02	46.60	-88.88	53.99	-88.88	58.52	600	0	0	0	500	29.45	0.179	0.000	0.016	0.000	-0.880	-0.880	0.048	0.000	-2.541	80.86	76.44	4.42	0.79	76.44	4.42	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.606	3.420	-2.814	36.497	3.452	39.949	-40.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.006	0.034	303.242	0.365	0.035	0.399	-0.407	0.000	0.000	0.000	0.000	0.000	0.000	80.41	80.72	80.75	80.90	81.00	81.00	81.00	80.77	81.20	80.65	81.00	80.94	-88.88	-88.88	-88.88	76.42	76.42	76.13	77.32	76.23	75.93	76.73	76.55	76.27	-88.88	75.24	-88.88	-88.88	-88.88	84.28	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.24	0.018352	0.031081	53.989	58.523	
00043	00007	2:54:48 PM	709	163	709	0	0	0	163	0	728	171	730	2316	728	0	0	0	171	0	3189	732	3189	9974	3189	0	0	0	732	0	0.00000	0.00902	0.00000	0.01064	0.00770	29.93894	0.072992	0.071395	0.072835	0.071781	0.03	35.46	0.02	46.62	-88.88	54.03	-88.88	58.51	600	0	0	0	500	29.46	0.176	0.000	0.017	0.000	-0.880	-0.880	0.049	0.000	-2.541	80.84	76.42	4.42	0.79	76.42	4.42	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.606	3.413	-2.807	36.442	3.435	39.877	-40.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.007	0.041	303.236	0.435	0.041	0.476	-0.485	0.000	0.000	0.000	0.000	0.000	0.000	80.39	80.68	80.74	80.87	80.97	80.98	80.98	80.75	81.17	80.63	80.98	80.91	-88.88	-88.88	-88.88	76.38	76.33	76.06	77.32	76.23	75.92	76.74	76.55	76.28	-88.88	75.27	-88.88	-88.88	-88.88	84.28	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.27	0.018346	0.031069	54.032	58.514	
00049	00008	2:54:54 PM	702	161	702	0	0	0	161	0	722	169	723	2316	722	0	0	0	169	0	3160	726	3160	9972	3160	0	0	0	726	0	0.00000	0.00904	0.00000	0.01063	0.00770	29.94394	0.072978	0.071391	0.072822	0.071769	0.03	35.61	0.02	46.57	-88.88	54.08	-88.88	58.48	600	0	0	0	500	29.45	0.186	0.000	0.016	0.000	-0.880	-0.880	0.048	0.000	-2.541	80.83	76.41	4.42	0.77	76.41	4.42	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.604	3.406	-2.802	36.445	3.429	39.874	-40.598	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.008	0.046	303.232	0.496	0.047	0.543	-0.553	0.000	0.000	0.000	0.000	0.000	0.000	80.39	80.67	80.74	80.86	80.97	80.98	80.97	80.75	81.16	80.61	80.97	80.90	-88.88	-88.88	-88.88	76.44	76.24	76.02	77.33	76.23	75.92	76.74	76.55	76.27	-88.88	75.27	-88.88	-88.88	-88.88	84.20	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.27	0.018345	0.031054	54.075	58.478	
00055	00009	2:55:00 PM	693	151	693	0	0	0	151	0	712	159	714	2316	712	0	0	0	159	0	3118	680	3118	9972	3118	0	0	0	680	0	0.00000	0.00906	0.00000	0.01062	0.00770	29.98493	0.072970	0.071384	0.072823	0.071770	0.03	35.67	0.02	46.59	-88.88	54.15	-88.88	58.47	600	0	0	0	500	29.45	0.168	0.001	0.016	0.000	-0.880	-0.880	0.042	0.000	-2.541	80.81	76.39	4.41	0.78	76.39	4.41	0.000	0.000	0.000	1.366	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.599	3.394	-2.796	36.407	3.420	39.827	-40.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.009	0.052	303.227	0.556	0.052	0.608	-0.620	0.000	0.000	0.000	0.000	0.000	0.000	80.36	80.66	80.70	80.84	80.95	80.95	80.94	80.72	81.14	80.59	80.95	80.88	-88.88	-88.88	-88.88	76.36	76.19	75.94	77.32	76.23	75.93	76.74	76.55	76.27	-88.88	75.31	-88.88	-88.88	-88.88	84.23	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	-88.88	75.31	0.018340	0.031045	54.147	58.469	
